team,p_group,p_r16,p_qf,p_sf,p_final,p_win
Brazil,1.0,0.9342,0.6711,0.3808,0.2719,0.186
France,1.0,0.9418,0.682,0.5313,0.405,0.1827
Germany,1.0,0.8796,0.5271,0.2812,0.1424,0.1026
Portugal,1.0,0.7867,0.4866,0.2862,0.1729,0.1007
Argentina,1.0,0.9242,0.6,0.2209,0.1484,0.0568
England,1.0,0.9341,0.653,0.4351,0.1499,0.0552
Belgium,1.0,0.7941,0.4355,0.2462,0.089,0.0535
Spain,1.0,0.796,0.3881,0.1833,0.0799,0.053
Netherlands,1.0,0.8883,0.5711,0.294,0.1235,0.0521
Croatia,1.0,0.754,0.3878,0.2033,0.0705,0.0381
Uruguay,1.0,0.5707,0.2728,0.1456,0.0753,0.0378
Switzerland,1.0,0.6115,0.2243,0.0728,0.0358,0.0167
Denmark,1.0,0.6136,0.2211,0.1261,0.0641,0.0151
Mexico,1.0,0.7135,0.3085,0.0769,0.0415,0.0115
Ghana,1.0,0.3891,0.1497,0.0598,0.0247,0.0106
Morocco,1.0,0.4073,0.1694,0.0678,0.0143,0.0063
Ecuador,1.0,0.5571,0.2285,0.0751,0.0173,0.0048
Senegal,1.0,0.5442,0.1988,0.0652,0.0147,0.004
South Korea,1.0,0.2535,0.0909,0.0344,0.0123,0.004
Serbia,1.0,0.298,0.0756,0.0166,0.0061,0.0021
United States,1.0,0.5864,0.2067,0.0835,0.0152,0.002
Japan,1.0,0.2195,0.0646,0.0144,0.0032,0.0014
Australia,1.0,0.2516,0.0532,0.0182,0.0068,0.001
Iran,1.0,0.4079,0.126,0.0444,0.0049,0.0007
Tunisia,1.0,0.193,0.0437,0.0176,0.0064,0.0006
Cameroon,1.0,0.1563,0.029,0.0038,0.0011,0.0004
Costa Rica,1.0,0.1049,0.0202,0.0028,0.0006,0.0002
Poland,1.0,0.26,0.0744,0.0073,0.002,0.0001
Canada,1.0,0.0446,0.0073,0.001,0.0,0.0
Qatar,1.0,0.0104,0.0016,0.0002,0.0,0.0
Saudi Arabia,1.0,0.1023,0.0171,0.0017,0.0003,0.0
Wales,1.0,0.0716,0.0143,0.0025,0.0,0.0
